"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"4.7uF","desc","C5,C2,","0805","libref","2","2","","",
"104","desc","C6,C4,C3,C1,","0805","libref","2","4","","",
"SD103","desc","D4,","SOD-123","libref","2","1","","",
"8V","desc","D5,","LL-34","libref","2","1","","",
"1N4007","desc","D6,D3,D2,D1,","SMA(DO-214AC)_S3","libref","2","4","","",
"AO3401","desc","Q1,","SOT-23(SOT-23-3)","libref","3","1","","",
"2N5551","desc","Q7,Q6,Q5,","SOT-23","libref","3","3","","",
"2N5401","desc","Q8,","SOT-23(SOT-23-3)","libref","3","1","","",
"2N5551","desc","Q9,Q4,Q3,Q2,","SOT-23(SOT-23-3)","libref","3","4","","",
"1K","desc","R10,","0805","libref","2","1","","",
"180K","desc","R11,","0805","libref","2","1","","",
"22K","desc","R12,","0805","libref","2","1","","",
"4.7K","desc","R13,","0805","libref","2","1","","",
"47K","desc","R15,R19,R14,R3,","0805","libref","2","4","","",
"580K","desc","R17,R2,","0805","libref","2","2","","",
"220K","desc","R22,R21,R20,R9,","0805","libref","2","4","","",
"10K","desc","R23,","0805","libref","2","1","","",
"470K","desc","R26,R25,R24,R18,R16,R5,R4,","0805","libref","2","7","","",
"4.7k","desc","R6,","0805","libref","2","1","","",
"330K","desc","R7,","0805","libref","2","1","","",
"100K","desc","R8,","0805","libref","2","1","","",
"LM358","desc","U2,U1,","SOIC-8_150MIL","libref","8","2","","",
"Through Hole Items ",
"LED","desc","D7,","LED_D3.0mm","libref","2","1","","",
"Fuse","desc","F1,","FUSE6x32","libref","4","1","","",
"24V","desc","J1,","PhoenixContact_GMSTBA-G_02x7.62mm_Angled","libref","2","1","","",
"Fan","desc","J2,","508CON-2P","libref","2","1","","",
"Lamp","desc","J3,","PhoenixContact_GMSTBA-G_02x7.62mm_Angled","libref","2","1","","",
"G2R-1-E","desc","K2,K1,","OMRON G2R-1-E","libref","8","2","","",
"2.2 50W","desc","R1,","RES50W","libref","6","1","","",
"M3_Screwhole","desc","REF**,REF**,1,REF**,","M3_Screwhole","libref","7","4","","",
"Test_Point_Keystone_5005-5009_Compact","desc","REF**,","Test_Point_Keystone_5005-5009_Compact","libref","1","1","","",
"100K","desc","RV1,","3362P","libref","3","1","","",
"SW_SPST","desc","SW1,","Molex_KK-6410-02_02x2.54mm_Straight","libref","2","1","","",
"470_85","desc","TH1,","Molex_KK-6410-02_02x2.54mm_Straight","libref","2","1","","",
